team,mean_elo,year
Hawks,1591.5445241379314,1989
Hawks,1512.7496158536585,1990
Hawks,1523.4941367816093,1991
Hawks,1485.461818292683,1992
Hawks,1472.7751094117648,1993
Hawks,1601.3654215053764,1994
Hawks,1524.8227564705883,1995
Hawks,1527.9480739130433,1996
Hawks,1610.3832032608695,1997
Hawks,1589.7803069767444,1998
Hawks,1584.031289830508,1999
Hawks,1447.5933231707318,2000
Hawks,1355.3075804878047,2001
Hawks,1388.1355097560975,2002
Hawks,1423.2803256097561,2003
Hawks,1400.8164207317075,2004
Hawks,1302.470062195122,2005
Hawks,1309.4960048780488,2006
Hawks,1388.682174390244,2007
Hawks,1437.814691011236,2008
Hawks,1523.054848387097,2009
Hawks,1586.7381107526876,2010
Hawks,1536.1646936170212,2011
Hawks,1539.0646263888889,2012
Hawks,1525.0193738636365,2013
Hawks,1480.9952146067412,2014
Hawks,1607.266843877551,2015
Lakers,,1976
Lakers,1555.7011150537633,1977
Lakers,1551.652542352941,1978
Lakers,1583.4381711111107,1979
Lakers,1625.2270387755102,1980
Lakers,1637.2684800000002,1981
Lakers,1614.3281822916663,1982
Lakers,1654.0810484536084,1983
Lakers,1594.0189281553398,1984
Lakers,1663.0926930693072,1985
Lakers,1693.3937270833333,1986
Lakers,1687.776324,1987
Lakers,1680.2887849056601,1988
Lakers,1644.043306185567,1989
Lakers,1668.294852747253,1990
Lakers,1651.4660089108909,1991
Lakers,1530.1423093023257,1992
Lakers,1470.8105126436783,1993
Lakers,1415.769207317073,1994
Lakers,1509.7597315217392,1995
Lakers,1573.466680232558,1996
Lakers,1606.8262318681316,1997
Lakers,1656.8773252631581,1998
Lakers,1619.301572413793,1999
Lakers,1679.2352695238094,2000
Lakers,1635.386710204082,2001
Lakers,1693.7172475247523,2002
Lakers,1602.5870702127656,2003
Lakers,1631.2519490384616,2004
Lakers,1521.765263414634,2005
Lakers,1520.8055168539329,2006
Lakers,1533.007732183908,2007
Lakers,1636.1180514563105,2008
Lakers,1720.7080666666668,2009
Lakers,1684.1989523809525,2010
Lakers,1652.4449576086956,2011
Lakers,1593.5651243589741,2012
Lakers,1535.1592372093023,2013
Lakers,1414.0110719512195,2014
Lakers,1372.5224914634143,2015
Rockets,,1976
Rockets,1537.7508319148935,1977
Rockets,1458.0764207317072,1978
Rockets,1485.3790452380954,1979
Rockets,1506.0860898876406,1980
Rockets,1491.728290291262,1981
Rockets,1514.777377647059,1982
Rockets,1322.8947280487805,1983
Rockets,1379.2907756097559,1984
Rockets,1500.3409919540227,1985
Rockets,1561.4901264705886,1986
Rockets,1531.810320652174,1987
Rockets,1551.6224813953493,1988
Rockets,1513.7956593023255,1989
Rockets,1498.9068,1990
Rockets,1560.5231211764708,1991
Rockets,1487.9015841463415,1992
Rockets,1558.3654648936167,1993
Rockets,1629.5451695238096,1994
Rockets,1599.6583903846154,1995
Rockets,1596.4992566666665,1996
Rockets,1590.419755102041,1997
Rockets,1534.0587862068965,1998
Rockets,1518.0305962962962,1999
Rockets,1460.822275609756,2000
Rockets,1541.56015,2001
Rockets,1456.7715243902442,2002
Rockets,1501.5162926829269,2003
Rockets,1565.1604551724135,2004
Rockets,1569.5838516853937,2005
Rockets,1511.1037158536585,2006
Rockets,1579.4948674157301,2007
Rockets,1605.168905681818,2008
Rockets,1616.9809547368418,2009
Rockets,1562.3859914634147,2010
Rockets,1514.9585560975609,2011
Rockets,1528.0532666666663,2012
Rockets,1559.0612647727276,2013
Rockets,1613.069651136364,2014
Rockets,1623.4501404040404,2015
