team,mean_elo,year,Conference
Hawks,1480.719411,1982,East
Hawks,1506.2671,1983,East
Hawks,1483.151746,1984,East
Hawks,1470.796552,1985,East
Hawks,1529.003482,1986,East
Hawks,1632.847521,1987,East
Hawks,1611.226438,1988,East
Hawks,1591.544524,1989,East
Hawks,1512.749616,1990,East
Hawks,1523.494137,1991,East
Hawks,1485.461818,1992,East
Hawks,1472.775109,1993,East
Hawks,1601.365422,1994,East
Hawks,1524.822756,1995,East
Hawks,1527.948074,1996,East
Hawks,1610.383203,1997,East
Hawks,1589.780307,1998,East
Hawks,1584.03129,1999,East
Hawks,1447.593323,2000,East
Hawks,1355.30758,2001,East
Hawks,1388.13551,2002,East
Hawks,1423.280326,2003,East
Hawks,1400.816421,2004,East
Hawks,1302.470062,2005,East
Hawks,1309.496005,2006,East
Hawks,1388.682174,2007,East
Hawks,1437.814691,2008,East
Hawks,1523.054848,2009,East
Hawks,1586.738111,2010,East
Hawks,1536.164694,2011,East
Hawks,1539.064626,2012,East
Hawks,1525.019374,2013,East
Hawks,1480.995215,2014,East
Hawks,1607.266844,2015,East
Lakers,,1976,West
Lakers,1555.701115,1977,West
Lakers,1551.652542,1978,West
Lakers,1583.438171,1979,West
Lakers,1625.227039,1980,West
Lakers,1637.26848,1981,West
Lakers,1614.328182,1982,West
Lakers,1654.081048,1983,West
Lakers,1594.018928,1984,West
Lakers,1663.092693,1985,West
Lakers,1693.393727,1986,West
Lakers,1687.776324,1987,West
Lakers,1680.288785,1988,West
Lakers,1644.043306,1989,West
Lakers,1668.294853,1990,West
Lakers,1651.466009,1991,West
Lakers,1530.142309,1992,West
Lakers,1470.810513,1993,West
Lakers,1415.769207,1994,West
Lakers,1509.759732,1995,West
Lakers,1573.46668,1996,West
Lakers,1606.826232,1997,West
Lakers,1656.877325,1998,West
Lakers,1619.301572,1999,West
Lakers,1679.23527,2000,West
Lakers,1635.38671,2001,West
Lakers,1693.717248,2002,West
Lakers,1602.58707,2003,West
Lakers,1631.251949,2004,West
Lakers,1521.765263,2005,West
Lakers,1520.805517,2006,West
Lakers,1533.007732,2007,West
Lakers,1636.118051,2008,West
Lakers,1720.708067,2009,West
Lakers,1684.198952,2010,West
Lakers,1652.444958,2011,West
Lakers,1593.565124,2012,West
Lakers,1535.159237,2013,West
Lakers,1414.011072,2014,West
Lakers,1372.522491,2015,West
Rockets,,1976,West
Rockets,1537.750832,1977,West
Rockets,1458.076421,1978,West
Rockets,1485.379045,1979,West
Rockets,1506.08609,1980,West
Rockets,1491.72829,1981,West
Rockets,1514.777378,1982,West
Rockets,1322.894728,1983,West
Rockets,1379.290776,1984,West
Rockets,1500.340992,1985,West
Rockets,1561.490126,1986,West
Rockets,1531.810321,1987,West
Rockets,1551.622481,1988,West
Rockets,1513.795659,1989,West
Rockets,1498.9068,1990,West
Rockets,1560.523121,1991,West
Rockets,1487.901584,1992,West
Rockets,1558.365465,1993,West
Rockets,1629.54517,1994,West
Rockets,1599.65839,1995,West
Rockets,1596.499257,1996,West
Rockets,1590.419755,1997,West
Rockets,1534.058786,1998,West
Rockets,1518.030596,1999,West
Rockets,1460.822276,2000,West
Rockets,1541.56015,2001,West
Rockets,1456.771524,2002,West
Rockets,1501.516293,2003,West
